"","medal","beer_name","brewery","city","state","category","year"
"3509","Gold","Auld Gnarley Head Barleywine","Wild Duck Brewery & Restaurant","Eugene","OR","Barley Wine-Style Ale",2003
"3510","Bronze","Old Backus Barleywine","Free State Brewing Co.","Lawrence","KS","Barley Wine-Style Ale",2003
"3511","Bronze","Tiburon Blonde","Marin Brewing Co.","Larkspur","CA","Belgian-and French-Style Ale",2003
"3512","Gold","Abbey Belgian Style Ale","New Belgium Brewing Co.","Fort Collins","CO","Belgian-Style Abbey Ale",2003
"3513","Bronze","Tripel","Iron Hill Brewery & Restaurant - Media","Media","PA","Belgian-Style Abbey Ale",2003
"3514","Gold","Lambic De Hill","Iron Hill Brewery & Restaurant - Media","Media","PA","Belgian-Style Sour Ale",2003
"3515","Silver","La Folie","New Belgium Brewing Co.","Fort Collins","CO","Belgian-Style Sour Ale",2003
"3516","Bronze","LaConner Red","LaConner Brewing Co.","LaConner","WA","Belgian-Style Sour Ale",2003
"3517","Gold","Cuvee de Tomme","Pizza Port - Solana Beach","Solana Beach","CA","Belgian-Style Strong Specialty Ale",2003
"3518","Bronze","Bete Blanche","Elysian Brewing Co.","Seattle","WA","Belgian-Style Strong Specialty Ale",2003
"3519","Gold","Celis White","Michigan Brewing Co.","Webberville","MI","Belgian-Style White (or Wit)/Belgian-Style",2003
"3520","Silver","Blanche de Brooklyn","Brooklyn Brewery (The)","Brooklyn","NY","Belgian-Style White (or Wit)/Belgian-Style",2003
"3521","Bronze","Boulevard Zon","Boulevard Brewing Co.","Kansas City","MO","Belgian-Style White (or Wit)/Belgian-Style",2003
"3522","Gold","Deschutes Summer Seasonal","Deschutes Brewery","Bend","OR","Bitter",2003
"3523","Silver","Upland Pale Ale","Upland Brewing Co.","Bloomington","IN","Bitter",2003
"3524","Bronze","Blue Heron Pale Ale","BridgePort Brewing Co.","Portland","OR","Bitter",2003
"3525","Gold","Butthead Bock","Tommyknocker Brewery","Idaho Springs","CO","Bock",2003
"3526","Silver","Blonde Bock","Moosejaw Pizza and Brewing","Wisconsin Dells","WI","Bock",2003
"3527","Bronze","Carl & Richard's Excellent Bavarian Adventure","Sandlot Brewery at Coors Field","Denver","CO","Bock",2003
"3528","Silver","Czech it Out","RAM International/Big Horn Brewing","Lakewood","WA","Bohemian Style Pilsener",2003
"3529","Bronze","Barmen","Sandlot Brewery at Coors Field","Denver","CO","Bohemian Style Pilsener",2003
"3530","Gold","Cream Stout","Redrock Brewing Co.","Flint","MI","British Stout",2003
"3531","Silver","Sinners Stout","Angelic Brewing Co.","Madison","WI","British Stout",2003
"3532","Bronze","Cowabunga Cream Stout","Pizza Port - Solana Beach","Solana Beach","CA","British Stout",2003
"3533","Silver","Sweetwater Exodus Porter","Sweetwater Brewing Co.","Atlanta","GA","Brown Porter",2003
"3534","Bronze","Custer's Last Ale","Snake River Brewing Co.","Jackson","WY","Classic English Style Pale Ale",2003
"3535","Silver","Seaside Stout","Pizza Port - Solana Beach","Solana Beach","CA","Classic Irish-Style Dry Stout",2003
"3536","Bronze","Storm Castle Irish Stout","Wolf Pack Brewing Co.","West Yellowstone","MT","Classic Irish-Style Dry Stout",2003
"3537","Gold","Up All Night Espresso Stout","West Brothers Brewery","Eugene","OR","Coffee Flavored Beer",2003
"3538","Bronze","Maxwell's Dry Stout","Basil Ts Brewpub & Italian Grill","Red Bank","NJ","Coffee Flavored Beer",2003
"3539","Gold","Buster Nut Brown","Ska Brewing Co.","Durango","CO","English-Style Brown Ale",2003
"3540","Silver","Pete's Wicked Ale","Pete's Brewing Co.","San Antonio","TX","English-Style Brown Ale",2003
"3541","Bronze","Saint Arnold Brown Ale","Saint Arnold Brewing Co.","Houston","TX","English-Style Brown Ale",2003
"3542","Silver","Man Beer","Bull and Bush Pub and Brewery","Denver","CO","English-Style India Pale Ale",2003
"3543","Gold","Chasing Tail Ale","Squatters Pub Brewery","Salt Lake City","UT","English-Style Summer Ale",2003
"3544","Silver","Avalon Blonde","Angelic Brewing Co.","Madison","WI","English-Style Summer Ale",2003
"3545","Silver","Penn Dark","Pennsylvania Brewing Co.","Pittsburgh","PA","European-Style Dark/Muchner Dunkel",2003
"3546","Bronze","Dunkel","Iron Hill Brewery & Restaurant - West Chester","West Chester","PA","European-Style Dark/Muchner Dunkel",2003
"3547","Silver","Ortlieb's Select 69 Lager","Ortlieb's Brewery & Grille","Pottstown","PA","European-Style Pilsener",2003
"3548","Bronze","Wort Hog Dort","Bluegrass Brewing Co.","Louisville","KY","European-Style Pilsener",2003
"3549","Bronze","Trappist Pale Ale","McKenzie Brew House","Glen Mills","PA","Experimental Beer",2003
"3550","Gold","The Wise ESB","Elysian Brewing Co.","Seattle","WA","Extra Special Bitter or Strong Bitter",2003
"3551","Silver","Barbarians Best Bitter","Far West Brewing Co.","Redmond","WA","Extra Special Bitter or Strong Bitter",2003
"3552","Gold","Black Bear XX Stout","Alameda Brewing Co.","Portland","OR","Foreign (Export)-Style Stout",2003
"3553","Silver","Shot Tower Stout","21st Amendment Brewery Caf=C3=A9","San Francisco","CA","Foreign (Export)-Style Stout",2003
"3554","Bronze","Obsidian Stout","Deschutes Brewery","Bend","OR","Foreign (Export)-Style Stout",2003
"3555","Gold","Saison de Brooklyn","Brooklyn Brewery (The)","Brooklyn","NY","French-and Belgian-Style Saison",2003
"3556","Silver","Artisan Saison","Rocky River Brewing Co. - Ohio","Rocky River","OH","French-and Belgian-Style Saison",2003
"3557","Bronze","Saison","McKenzie Brew House","Glen Mills","PA","French-and Belgian-Style Saison",2003
"3558","Gold","Belgian Red","New Glarus Brewing Co.","New Glarus","WI","Garden Beer (Fruit & Vegetable)",2003
"3559","Silver","Raspberry Tart","New Glarus Brewing Co.","New Glarus","WI","Garden Beer (Fruit & Vegetable)",2003
"3560","Bronze","Black Cherry Stout","Main Street Brewery","Las Vegas","NV","Garden Beer (Fruit & Vegetable)",2003
"3561","Silver","Ettinger Amber","Laurelwood Public House & Brewery","Portland","OR","German-Style Brown Ale/Dusseldorf-Style",2003
"3562","Bronze","All the Way Alt","Desert Edge Brewery","Salt Lake City","UT","German-Style Brown Ale/Dusseldorf-Style",2003
"3563","Gold","Sled Dog Trippelbock Reserve","Wagner Valley Brewing Co.","Lodi","NY","German-Style Doppelbock",2003
"3564","Silver","Incinerator Doppelbock","Pumphouse Brewery & Restaurant","Longmont","CO","German-Style Doppelbock",2003
"3565","Bronze","Broken Keg","Port Brewing Co. Pizza Port Carlsbad","Carlsbad","CA","German-Style Doppelbock",2003
"3566","Gold","Oak Creek Hefeweizen","Oak Creek Brewing Co.","Sedona","AZ","German-Style Hefeweizen",2003
"3567","Silver","In-Heat Wheat","Flying Dog Brewery","Denver","CO","German-Style Hefeweizen",2003
"3568","Bronze","Sweet Spot Hefe","Oggi's Pizza & Brewing Co.","San Diego","CA","German-Style Hefeweizen",2003
"3569","Gold","Atomic Blonde","Blue Corn CafC3=A9 & Brewery","Albuquerque","NM","German-Style KC3=B6lsch/K=C3=B6ln-Style K=C3=B6l=sch",2003
"3570","Gold","Oktoberfest","Great Dane Pub & Brewing Co. (The)","Madison","WI","German-Style MC3=A4=rzen/Oktoberfest",2003
"3571","Bronze","Stewart's Oktoberfest","Stewart's Brewing Co.","Bear","DE","German-Style M=C3=A4rzen/Oktoberfest",2003
"3572","Gold","Pinch Hit Pilsner","Sandlot Brewery at Coors Field","Denver","CO","German-Style Pilsener",2003
"3573","Silver","RedRock Pilsner","Redrock Brewing Co.","Salt Lake City","UT","German-Style Pilsener",2003
"3574","Bronze","Pikeland - Pils","Sly Fox Brewhouse & Eatery","Phoenixville","PA","German-Style Pilsener",2003
"3575","Bronze","Black Forest Schwarzbier","Squatters Pub Brewery","Salt Lake City","UT","German-Style Schwarzbier",2003
"3576","Gold","Dunkel Weizen","Unlikely Cowboy Restaurant & Brewery (The)","Scottsdale","AZ","German-Style Wheat Ale",2003
"3577","Gold","Widmer Blonde Ale,","Widmer Brothers Brewing Co.","Portland","OR","Golden or Blonde Ale",2003
"3578","Silver","Redhook Blonde","Redhook Ale Brewery","Woodinville","WA","Golden or Blonde Ale",2003
"3579","Bronze","Mother Lode Golden","Laurelwood Public House & Brewery","Portland","OR","Golden or Blonde Ale",2003
"3580","Gold","Camomellow","Issaquah Brewhouse","Issaquah","WA","Herb and Spice Beer",2003
"3581","Silver","Heather Ale","Amherst Brewing Co.","Amherst","MA","Herb and Spice Beer",2003
"3582","Bronze","Cinco de Mayo Jalapeno Lager","Rock Bottom Breweries","Braintree","MA","Herb and Spice Beer",2003
"3583","Gold","Frank Double I.P.A","Port Brewing Co. Pizza Port Carlsbad","Carlsbad","CA","Imperial or Double India Pale Ale",2003
"3584","Silver","Hop 15","Pizza Port - Solana Beach","Solana Beach","CA","Imperial or Double India Pale Ale",2003
"3585","Gold","Russian Imperial Stout","Iron Hill Brewery & Restaurant - Newark","Newark","DE","Imperial Stout",2003
"3586","Silver","Backdraft Imperial Stout","Pumphouse Brewery & Restaurant","Longmont","CO","Imperial Stout",2003
"3587","Bronze","Lumberjack Red Ale","Rock Bottom Brewery - Bellevue","Bellevue","WA","Irish-Style Red Ale",2003
"3588","Bronze","Helles of a Play","Sandlot Brewery at Coors Field","Denver","CO","Munchner-Style Helles",2003
"3589","Silver","O'DoulE2=80=99s Amber","Anheuser-Busch, Inc","Saint Louis","MO","Non-Alcoholic (Beer) Malt Beverage",2003
"3590","Gold","Stewart's Barleywine","Stewart's Brewing Co.","Bear","DE","Old Ale/Strong Ale",2003
"3591","Bronze","Old Stock Ale","North Coast Brewing Co. Inc","Ft. Bragg","CA","Old Ale/Strong Ale",2003
"3592","Gold","Old Sol","Big Time Brewing Co.","Seattle","WA","Other Strong Ale or Lager",2003
"3593","Gold","1535 Pearl Street Porter","Mountain Sun Pub and Brewery","Boulder","CO","Robust Porter",2003
"3594","Silver","Perseus Porter","Elysian Brewing Co.","Seattle","WA","Robust Porter",2003
"3595","Bronze","Black Marlin Porter","Ballast Point Brewing Co.","San Diego","CA","Robust Porter",2003
"3596","Gold","Right On Rye","Rock Bottom Breweries","Bethesda","MD","Rye Beer",2003
"3597","Silver","Tailwind Rye","Blind Tiger Brewery &amp; Restaurant","Topeka","KS","Rye Beer",2003
"3598","Bronze","Rocky Mountain Rye","Smuggler's Brewpub","Telluride","CO","Rye Beer",2003
"3599","Gold","Pete's Wicked Ale","Pete's Brewing Co.","San Antonio","TX","Scottish-Style Ale",2003
"3600","Silver","60 Shilling","Nodding Heading Brewing Co.","Philadelphia","PA","Scottish-Style Ale",2003
"3601","Gold","Black Silk","Bluegrass Brewing Co.","Louisville","KY","Smoke-Flavored Beer",2003
"3602","Silver","DeGroen's Rauchbock","Baltimore Brewing Co.","Baltimore","MD","Smoke-Flavored Beer",2003
"3603","Bronze","Alaskan Smoked Porter","Alaskan Brewing and Bottling Co.","Juneau","AK","Smoke-Flavored Beer",2003
"3604","Gold","California Crisp","Thirsty Dog Brewing Co.","Akron","OH","Specialty Beer",2003
"3605","Silver","Ginger Shandy","McCoy's Public House","Kansas City","MO","Specialty Beer",2003
"3606","Silver","Michelob Honey Lager","Anheuser-Busch, Inc","Saint Louis","MO","Specialty Honey Beer",2003
"3607","Bronze","Mandarin Nectar","Alpine Beer Co.","Alpine","CA","Specialty Honey Beer",2003
"3608","Gold","Fat Bastard","Silver City Brewing Co.","Silverdale","WA","Strong Scotch Ale",2003
"3609","Silver","Lion Slayer","RAM International/Big Horn Brewing","Lakewood","WA","Strong Scotch Ale",2003
"3610","Bronze","Loyal Duke Scotch Ale","Amicas Pizza, Microbrews and More","Salida","CO","Strong Scotch Ale",2003
"3611","Gold","Snake River Lager","Snake River Brewing Co.","Jackson","WY","Vienna-Style Lager",2003
"3612","Silver","Dos Rios","Glenwood Canyon Brewing Co.","Glenwood Springs","CO","Vienna-Style Lager",2003
"3613","Bronze","Schild Brau Amber","Millstream Brewing Co.","Amana","IA","Vienna-Style Lager",2003
"3614","Gold","Red Line Imperial Bourbon Stout","Rock Bottom Brewery - Chicago","Chicago","IL","Wood-and Barrel-Aged Beer",2003
"3615","Bronze","Cherry Beer","New Glarus Brewing Co.","New Glarus","WI","Wood-and Barrel-Aged Beer",2003
"3616","Gold","Crooked River ESB","Frederick Brewing Co.","Frederick","MD","(Extra Special) Strong Bitter",2002
"3617","Bronze","Sweetwater Tavern Pale Ale","Sweetwater Tavern & Brewery","Centreville","VA","(Extra Special) Strong Bitter",2002
"3618","Gold","Hoptown Paint the Town Red","Hoptown Brewing Co.","Pleasanton","CA","American-Style Amber / Red Ale",2002
"3619","Silver","Ruedrich's Red Seal Ale","North Coast Brewing Co. Inc","Ft. Bragg","CA","American-Style Amber / Red Ale",2002
"3620","Bronze","Amber Waves Ale","Capitol City Brewing Co.","Washington","DC","American-Style Amber / Red Ale",2002
"3621","Gold","C3==9Cber Brau","Big Horn Brewing Co.","Lakewood","WA","American-Style Amber Lager",2002
"3622","Bronze","August Schell Firebrick","August Schell Brewing Co.","New Ulm","NM","American-Style Amber Lager",2002
"3623","Gold","Kick-Ass Brown","C.H. Evans Brewing Co. at the Albany Pump Station","Albany","NY","American-Style Brown Ale",2002
"3624","Silver","Bailey's American Brown","Hub City Brewery","Lubbock","TX","American-Style Brown Ale",2002
"3625","Silver","Ponderosa IPA","Prescott Brewing Co.","Prescott","AZ","American-Style India Pale Ale",2002
"3626","Silver","Budweiser","Anheuser-Busch, Inc","Fort Collins","CO","American-Style Lager",2002
"3627","Bronze","Old Style","Heileman Brewing Co.","San Antonio","TX","American-Style Lager",2002
"3628","Gold","Red Dog","Plank Road Brewery","Milwaukee","WI","American-Style Lager/Ale or Cream",2002
"3629","Silver","Hamm's","Hamm's Brewing Co.","Milwaukee","WI","American-Style Lager/Ale or Cream",2002
"3630","Bronze","Genesee Cream Ale","High Falls Brewing Co.","Rochester","NY","American-Style Lager/Ale or Cream",2002
"3631","Silver","Schaefer Light","Schaefer Brewing Co.","San Antonio","TX","American-Style Light Lager",2002
"3632","Gold","Rye Pale Ale","Terrapin Beer Co.","Athens","GA","American-Style Pale Ale",2002
"3633","Silver","Piranha Pale Ale","BJ's Restaurant & Brewery","Portland","OR","American-Style Pale Ale",2002
"3634","Bronze","IPA","SLO Brewing Co.","San Luis Obispo","CA","American-Style Pale Ale",2002
"3635","Silver","Monterey Lager","Spanish Peaks Brewing Co.","King City","CA","American-Style Premium Lager",2002
"3636","Bronze","Coors Original","Coors Brewing Co.","Golden","CO","American-Style Premium Lager",2002
"3637","Gold","Schmidt's Ice","Rainier Brewing Co. Inc","San Antonio","TX","American-Style Specialty Lager",2002
"3638","Silver","Red Bull","Schlitz Brewing Co.","San Antonio","TX","American-Style Specialty Lager",2002
"3639","Bronze","St. Ides Malt Liquor","St. Ides Brewing Co.","San Antonio","TX","American-Style Specialty Lager",2002
"3640","Gold","Raw Wheat","Blind Tiger Brewery & Restaurant","Topeka","KS","American-Style Wheat Beer",2002
"3641","Bronze","Shiner Winter Ale","Spoetzl Brewery (The)","San Antonio","TX","American-Style Wheat Beer",2002
"3642","Gold","Auld Gnarley Head Barleywine","Wild Duck Brewery & Restaurant","Eugene","OR","Barley Wine-Style Ale",2002
"3643","Silver","Old Bounder","Boundary Bay Brewery","Bellingham","WA","Barley Wine-Style Ale",2002
"3644","Bronze","Old Herb Barleywine","Southampton Publick House","Southampton","NY","Barley Wine-Style Ale",2002
"3645","Gold","Allagash White","Allagash Brewing Co.","Portland","ME","Belgian- & French-Style Ale",2002
"3646","Silver","Artisan Saison","Rocky River Brewing Co.","Rocky River","OH","Belgian- & French-Style Ale",2002
"3647","Bronze","Spring Saison","Engine House #9 Restaurant & Brewery","Tacoma","WA","Belgian- & French-Style Ale",2002
"3648","Gold","Double 02 Bear","Big Bear Brewing Co.","Coral Springs","FL","Belgian-Style Abbey Ale",2002
"3649","Silver","Daisy Chain","Chicago Brewing Co.","Las Vegas","NV","Belgian-Style Abbey Ale",2002
"3650","Bronze","Tripel","Iron Hill Brewery & Restaurant","West Chester","PA","Belgian-Style Abbey Ale",2002
"3651","Gold","La Folie","New Belgium Brewing Co.","Fort Collins","CO","Belgian-Style Sour Ale",2002
"3652","Silver","Lip Burner Lamb-Beak","Bitter End Bistro & Brewery","Austin","TX","Belgian-Style Sour Ale",2002
"3653","Silver","Millenium Grand Cru","BJ's Restaurant & Brewery","Portland","OR","Belgian-Style Strong Specialty Ales",2002
"3654","Bronze","Trouble","Rock Bottom Breweries","Bethesda","MD","Belgian-Style Strong Specialty Ales",2002
"3655","Gold","Full Suspension Pale Ale","Utah Brewers Cooperative","Salt Lake City","UT","Bitter",2002
"3656","Silver","8th Street Ale","Four Peaks Brewing Co.","Tempe","AZ","Bitter",2002
"3657","Bronze","Blue Heron Pale Ale","BridgePort Brewing Co.","Portland","OR","Bitter",2002
"3658","Gold","Saxer Bock","Portland Brewing Co.","Portland","OR","Bock",2002
"3659","Silver","Get Off My Bock","Blue Corn Caf=C3=A9 & Brewery","Albuquerque","NM","Bock",2002
"3660","Gold","Cleveland Chophouse Bohemian Pilsener","ChopHouse and Brewery-Cleveland","Cleveland","OH","Bohemian Style Pilsener",2002
"3661","Silver","Barmen Pilsener","Sandlot Brewery at Coors Field","Denver","CO","Bohemian Style Pilsener",2002
"3662","Bronze","BoHo Pilsner","Nodding Heading Brewing Co.","Philadelphia","PA","Bohemian Style Pilsener",2002
"3663","Gold","Sweetwater Exodus Porter","Sweetwater Brewing Co.","Atlanta","GA","Brown Porter",2002
"3664","Silver","Pioneer Porter","Fredericksburg Brewing Co.","Fredericksburg","TX","Brown Porter",2002
"3665","Bronze","Black Butte Porter","Deschutes Brewery","Bend","OR","Brown Porter",2002
"3666","Gold","Annadel Pale Ale","Third Street AleWorks","Santa Rosa","CA","Classic English Style Pale Ale",2002
"3667","Silver","Urban Wilderness","Sleeping Lady Brewing Co/Snow Goose Restaurant","Anchorage","AK","Classic English Style Pale Ale",2002
"3668","Bronze","Denver Pale Ale","Great Divide Brewing Co.","Denver","CO","Classic English Style Pale Ale",2002
"3669","Gold","Blarney Sister's Dry Irish Stout","Third Street AleWorks","Santa Rosa","CA","Classic Irish-Style Dry Stout",2002
"3670","Silver","McDoogin's Irish Stout","Thirsty Dog Grille and Brewery","Akron/Canton","OH","Classic Irish-Style Dry Stout",2002
"3671","Bronze","Lord Stanley","Steelhead Brewing Co.","Irvine","CA","Classic Irish-Style Dry Stout",2002
"3672","Gold","Maxwell's Dry Stout","Basil Ts Brewpub & Italian Grill","Red Bank","NJ","Coffee Flavored Beer",2002
"3673","Bronze","Jamaican Blue Porter","Big Rock Chop & Brew House","Birmingham","MI","Coffee Flavored Beer",2002
"3674","Gold","Grog","Nodding Heading Brewing Co.","Philadelphia","PA","English-Style Brown Ale",2002
"3675","Silver","Old Elk Brown Ale","Walnut Brewery","Boulder","CO","English-Style Brown Ale",2002
"3676","Bronze","Buster Nut Brown","Ska Brewing Co.","Durango","CO","English-Style Brown Ale",2002
"3677","Gold","IPA","Firestone Walker Brewing Co.","Paso Robles","CA","English-Style India Pale Ale",2002
"3678","Bronze","Newcomb's IPA","McCoys Public House & BrewKitchen","Kansas City","MO","English-Style India Pale Ale",2002
"3679","Gold","Voodoo's Child","Red Star Brewery & Grille","Greensburg","PA","European-Style Dark / Munchner Dunkel",2002
"3680","Silver","Dunkel","Moosejaw Pizza and Brewing","Wisconsin Dells","WI","European-Style Dark / Munchner Dunkel",2002
"3681","Bronze","Obscura","Mammoth Brewing","Mammoth","CA","European-Style Dark / Munchner Dunkel",2002
"3682","Gold","Tenaya Creek Pilsner","Tenaya Creek","Las Vegas","NV","European-Style Pilsener",2002
"3683","Silver","HermanbraC3=BC","Sandlot Brewery at Coors Field","Denver","CO","European-Style Pilsener",2002
"3684","Gold","Berliner Weisse","Southampton Publick House","Southampton","NY","Experimental Beer",2002
"3685","Silver","Juniper Rye","BJ's Restaurant & Brewery","Chandler","AZ","Experimental Beer",2002
"3686","Bronze","Raspberry Tart","New Glarus Brewing Co.","New Glarus","WI","Experimental Beer",2002
"3687","Gold","Black Hole XXX Stout","Chelsea Brewing Co.","New York","NY","Foreign Style Stout",2002
"3688","Silver","Zonker Stout","Snake River Brewing Co.","Jackson","WY","Foreign Style Stout",2002
"3689","Bronze","Gaston's Swollen Delta Stout","Redfish New Orleans Brewhouse","Boulder","CO","Foreign Style Stout",2002
"3690","Silver","Belgian Red","New Glarus Brewing Co.","New Glarus","WI","Fruit And Vegetable Beer",2002
"3691","Bronze","Little Pookie's Old Ale","Steelhead Brewing Co.","Eugene","OR","Fruit And Vegetable Beer",2002
"3692","Gold","Samuel Adams Double Bock","Samuel Adams Brewing Co.","Boston","MA","German-Style Doppelbock",2002
"3693","Silver","Liberator Doppelbock","Angelic Brewing Co.","Madison","WI","German-Style Doppelbock",2002
"3694","Silver","# 10 Kolsch","Wolf Pack Brewing Co.","West Yellowstone","MT","German-Style Kolsch / Koln-Style Kolsch",2002
"3695","Bronze","Golden Arm","Piece Brewery","Chicago","IL","German-Style Kolsch / Koln-Style Kolsch",2002
"3696","Gold","Octoberfest","Empire Brewing Co.","Rochester","NY","German-Style MC3=A4rzen/Oktoberfest",2002
"3697","Silver","Trout Brook Octoberfest Lager","Trout Brook Brewing Co.","Hartford","CT","German-Style MC3=A4rzen/Oktoberfes=t",2002
"3698","Gold","Hops Pilsener","Hops Restaurant, Bar and Brewery","Tampa","FL","German-Style Pilsener",2002
"3699","Silver","Goose Island Pils","Goose Island Beer Co.","Chicago","IL","German-Style Pilsener",2002
"3700","Gold","Schwarzbier","Empire Brewing Co.","Syracuse","NY","German-Style Schwarzbier",2002
"3701","Silver","Black Forest Schwarzbier","Squatters Pub Brewery","Salt Lake City","UT","German-Style Schwarzbier",2002
"3702","Bronze","Springfield Schwarzbier","John Harvard=E2=80=99s Brew House","Springfield","PA","German-Style Schwarzbier",2002
"3703","Gold","DeGroen's Weizen","Baltimore Brewing Co.","Baltimore","MD","German-Style Wheat Ale",2002
"3704","Silver","Barley's Boulder Gold Hefeweizen","Barley's Casino & Brewing Co.","Henderson","NV","German-Style Wheat Ale",2002
"3705","Silver","Sweetwater 420 Extra Pale Ale","Sweetwater Brewing Co.","Atlanta","GA","Golden or Blonde Ale",2002
"3706","Bronze","Alaskan Pale","Alaskan Brewing and Bottling Co.","Juneau","AK","Golden or Blonde Ale",2002
"3707","Gold","Upland Wheat Ale","Upland Brewing Co.","Bloomington","IN","Herb and Spice Beer",2002
"3708","Silver","Mocha Joe","Sports City CafC3=A9= & Brewery","La Jolla","CA","Herb and Spice Beer",2002
"3709","Bronze","Lemongrass Wheat","Outer Banks Brewing Co.","Kill Devil Hills","NC","Herb and Spice Beer",2002
"3710","Gold","Old Rasputin","North Coast Brewing Co. Inc","Ft. Bragg","CA","Imperial Stout",2002
"3711","Silver","Raven Maniac Stout","Prescott Brewing Co.","Prescott","AZ","Imperial Stout",2002
"3712","Bronze","No Disput'n Putin Russian Imperial Stout","Michigan Brewing Co.","Webberville","MI","Imperial Stout",2002
"3713","Gold","Henry Weinhard's Amber Ale","Henry Weinhard's Brewing","Milwaukee","WI","Irish-Style Red Ale",2002
"3714","Silver","Lumberjack Red Ale","Rock Bottom Breweries","Bellevue","WA","Irish-Style Red Ale",2002
"3715","Bronze","Irish Red","Hub City Brewery","Lubbock","TX","Irish-Style Red Ale",2002
"3716","Gold","Helles in a Handbasket","Hub City Brewery","Lubbock","TX","Munchner-Style Helles",2002
"3717","Silver","Helles Lager","Firestone Walker Brewing Co.","Paso Robles","CA","Munchner-Style Helles",2002
"3718","Bronze","French Creek Helles","Sly Fox Brewhouse & Eatery","Phoenixville","PA","Munchner-Style Helles",2002
"3719","Gold","Sinner's Stout","Angelic Brewing Co.","Madison","WI","Oatmeal Stout",2002
"3720","Silver","Celebration Brown","Island Brewing Co.","Carpenteria","CA","Old Ale / Strong Ale",2002
"3721","Bronze","Hopasaurus Rex","Steelhead Brewing Co.","Eugene","OR","Other Strong Ale or Lager",2002
"3722","Gold","Edmund Fitzgerald Porter","Great Lakes Brewing Co/Ohio","Cleveland","OH","Robust Porter",2002
"3723","Bronze","Pig Iron Porter","Iron Hill Brewery & Restaurant","Media","PA","Robust Porter",2002
"3724","Bronze","Catcher in the Rye","Rock Bottom Breweries","Arlington","VA","Rye Beer",2002
"3725","Gold","BJ's Rauchbier","BJ's Restaurant & Brewery","Portland","OR","Smoke-Flavored Beer",2002
"3726","Silver","Pelican Smoked Porter","Redfish New Orleans Brewhouse","Boulder","CO","Smoke-Flavored Beer",2002
"3727","Gold","Ashman's Abbaye Dubbel","Flossmoor Station Brewing Co.","Flossmoor","IL","Specialty Beer",2002
"3728","Silver","Ginger Shandy","McCoys Public House & BrewKitchen","Kansas City","MO","Specialty Beer",2002
"3729","Bronze","Maplenut Brown Ale","Tommyknocker Brewery","Idaho Springs","CO","Specialty Beer",2002
"3730","Gold","Star Spangled Ale","Hops Restaurant, Bar and Brewery","Tampa","FL","Specialty Honey Beer",2002
"3731","Silver","Honey Blonde","SLO Brewing Co.","Paso Robles","CA","Specialty Honey Beer",2002
"3732","Bronze","Ray's Honey Rye","Boscos Brewing Co.","Memphis","TN","Specialty Honey Beer",2002
"3733","Gold","Fat Bastard","Silver City Brewing Co.","Silverdale","WA","Strong Scotch Ale",2002
"3734","Bronze","Wee Heavy Ale","Capitol City Brewing Co.","Arlington","VA","Strong Scotch Ale",2002
"3735","Gold","Collaborator Milk Stout","Widmer Brothers Brewing Co.","Portland","OR","Sweet Stout",2002
"3736","Silver","Cream Stout","Redrock Brewing Co.","Flint","MI","Sweet Stout",2002
"3737","Bronze","Subjugator Stout","P.H. Woods Restaurant & Brewery","Moreno Valley","CA","Sweet Stout",2002
"3738","Gold","Dos Czechies","Hub City Brewery","Lubbock","TX","Vienna-Style Lager",2002
"3739","Silver","Dos Rios","Glenwood Canyon Brewing Co.","Glenwood Springs","CO","Vienna-Style Lager",2002
"3740","Bronze","Dockside Amber Lager","Wagner Brewing Co.","Lodi","NY","Vienna-Style Lager",2002
"3741","Gold","Terminal Bourbon Stout","Rock Bottom Breweries","Chicago","IL","Wood- and Barrel-Aged Beer",2002
"3742","Silver","Dragon's Milk","New Holland Brewing Co.","Holland","MI","Wood- and Barrel-Aged Beer",2002
"3743","Gold","Bachelor ESB","Deschutes Brewery","Bend","OR","(Extra Special) Strong Bitter",2001
"3744","Silver","The Tower ESB","Bull and Bush Pub and Brewery","Denver","CO","(Extra Special) Strong Bitter",2001
"3745","Bronze","Alaskan ESB","Alaskan Brewing and Bottling Co.","Juneau","AK","(Extra Special) Strong Bitter",2001
"3746","Silver","Hoppus Maximus","Thirsty Dog Grille and Brewery","N. Canton","OH","American-Style Amber / Red Ale",2001
"3747","Bronze","Woody's Hophead Red","Elk Grove Brewery and Restaurant","Elk Grove","CA","American-Style Amber / Red Ale",2001
"3748","Gold","Killians Irish Red","Coors Brewing Co.","Golden","CO","American-Style Amber Lager",2001
"3749","Silver","OKT-OBER-FEST","Big Horn Brewing Co.","Dallas","TX","American-Style Amber Lager",2001
"3750","Gold","American Brown","Hub City Brewery","Lubbock","TX","American-Style Brown Ale",2001
"3751","Silver","Nut Brown","Red Rock Brewing Co.","Salt Lake City","UT","American-Style Brown Ale",2001
"3752","Bronze","Midtown Brown","Boscos Brewing Co.","Memphis","TN","American-Style Brown Ale",2001
"3753","Gold","Henry Weinhard's Dark","Blitz-Weinhard Brewing Co.","Tumwater","WA","American-Style Dark Lager",2001
"3754","Silver","Freidobrau Oktoberfest","Big Horn Brewing Co.","Dallas","TX","American-Style Dark Lager",2001
"3755","Gold","Tumbleweed IPA","Sleeping Giant Brewing Co.","Billings","MT","American-Style India Pale Ale",2001
